,Буква,Кількість повторів,Частота,Ентропія
0,л,29640,0.050736917783597804,0.2182103664691991
1,е,48712,0.08338383060305722,0.2988550316492821
2,в,26499,0.04536024238689468,0.2024168084696646
3,т,33960,0.05813177219740153,0.23860356217116999
4,о,66579,0.11396805833718482,0.35709595260634236
5,с,31207,0.0534192642804567,0.22577631125176456
6,й,6765,0.011580136599394032,0.07448580000911442
7,н,38320,0.06559509748540715,0.25780632549610305
8,а,49828,0.08529416799328986,0.30291448348727834
9,и,37869,0.06482308837878088,0.2558793163268219
10,м,17781,0.03043701535459354,0.153342574986857
11,р,25115,0.0429911501395094,0.19517193200963773
12,ч,8623,0.014760608706071654,0.08977555684772909
13,ь,12145,0.02078946917954775,0.11617162170790488
14,п,14613,0.025014122117804138,0.13310297960499062
15,я,13018,0.02228384600900392,0.12229058121589247
16,х,5106,0.008740307091870795,0.059767096676024985
17,з,10048,0.017199883599513858,0.1008163848018573
18,д,17770,0.03041818586418802,0.15327486827058023
19,ы,11148,0.01908283264006573,0.10899314147197174
20,к,19574,0.0335062222906931,0.1641612952814721
21,г,11496,0.019678529245622144,0.11152282589227003
22,у,15829,0.027095636693541484,0.14105434741076367
23,ж,6244,0.010688303462914463,0.06998512261429408
24,б,10575,0.01810198736712371,0.1047690188071282
25,ц,1733,0.002966500624796727,0.024909771596821038
26,щ,1713,0.0029322651876957837,0.024671401059511825
27,э,1796,0.003074342251664698,0.02565694325195213
28,ф,964,0.0016501480682654616,0.015252630144480197
29,ш,5806,0.009938547390403807,0.06611866400113098
30,ю,3714,0.006357520669645149,0.04639286296971931
